"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN2004dt","2004/08/11","15.18","NGC 799","02:02:12.342,02:02:12.768,02:02:12.77","-00:06:02.10,-00:05:51.36,-00:05:51.50,-00:05:51.5","Ia","431","69","",""
"iPTF13dge","2013/09/04","15.09","NGC 1762","05:03:35.08,05:03:35.10","+01:34:17.4,+01:34:17.6,+01:34:17.2","Ia","431","19","",""
"SN1937C","1937/08/16","8.4","IC 4182","13:05:53.2,13:05:52.4,13:05:53.20","+37:36:07,+37:37:08.0,+37:36:07.0","Ia","425","2","",""
"SN2007sr","2007/12/18","12.79","NGC 4038","12:01:52.80,12:01:52.8","-18:58:21.7,-18:58:21.72,-18:58:21.68","Ia","414","35","0",""
"SN2005cf","2005/05/28","13.34","MCG -01-39-03","15:21:33.12,15:21:33.36,15:21:32.21","-07:26:57.1,-07:26:55.464,-07:24:47.5,-07:24:47.48","Ia","401","122","",""
"SN2005hk","2005/10/30","15.18","UGC 272","00:27:50.89,00:27:50.9,00:27:50.849,00:27:50.8824,00:27:50.8584,00:27:50.87","-01:11:53.3,-01:11:53,-01:11:53.484,-01:11:52.44,-01:11:53.34,-01:11:53.628,-01:11:52.5,-01:11:52.51","Ia-02cx","401","44","0",""
"SN1999ac","1999/02/26","14.04","NGC 6063","16:07:15.01","+07:58:20.4,+07:58:20.39","Ia Pec","397","39","",""
"SN2004ef","2004/09/04","16.73","UGC 12158","22:42:10.533,22:42:10.08,22:42:10.02","+19:59:48.99,+19:59:40.56,+19:59:40.4,+19:59:40.42","Ia","394","29","",""
"ASASSN-15fa","2015/03/17","15.86","NGC 6319","17:09:46.030,17:09:46.03,17:09:46.08,17:09:46","+62:58:27.01,+62:58:27.0,+62:58:27.12,+62:58:27","Ia","394","1","",""
"SN2009ig","2009/08/20","13","NGC 1015","02:38:11.62,02:38:11.613,02:38:11.616,02:38:11.61","-01:18:45.3,-01:18:45.52,-01:18:45.252,-01:18:45.1,-01:18:45.11","Ia","388","18","",""
"SN2003du","2003/04/22","13.06","UGC 9391","14:34:35.80,14:34:35.76,14:34:35.808","+59:20:03.8,+59:20:03.84,+59:20:03.80,+59:20:03.89","Ia","382","80","0",""
"SN2017deu","2017/04/16","18.05","","13:16:21.60,13:16:21.600,13:16:21.59,13:16:21.6","+27:41:35.34,+27:41:35.3,+27:41:35.52","Ia","372","1","",""
"SN2002er","2002/08/23","14.2","UGC 10743","17:11:29.88","+07:59:44.8,+07:59:44.81","Ia","357","30","",""
"SN2004gs","2004/12/12","16.84","MCG +03-22-20","08:38:23.851,08:38:23.28,08:38:23.18","+17:37:52.85,+17:37:39.72,+17:37:39.8,+17:37:39.79","Ia","357","13","",""
"SN2005ki","2005/11/18","15.36","NGC 3332","10:40:28.355,10:40:28.32,10:40:28.22","+09:10:57.14,+09:12:08.39,+09:12:08.4","Ia","357","9","",""
"SN1989B","1989/01/30","11.2","NGC 3627","11:20:13.93,11:20:13.92,11:20:13.91,11:20:13.9","+13:00:18.9,+13:00:19.44,+13:00:19.2,+13:00:19.0","Ia","351","7","0",""
"SN2002fk","2002/09/17","12.45","NGC 1309","03:22:05.71","-15:24:03.2,-15:24:03.20","Ia","343","29","",""
"SN2006ax","2006/03/20","14.8","NGC 3663","11:24:03.46,11:24:03.36,11:24:3.36","-12:17:29.2,-12:17:29.76,-12:17:29.04,-12:17:29.18","Ia","343","15","",""
"SN2001el","2001/09/17","12.4","NGC 1448","03:44:30.60,03:44:30.57","-44:38:23.4,-44:38:23.7,-44:38:23.71","Ia","335","29","",""
"SN2016fbo","2016/08/15","15.16","","01:01:35.50,01:01:35.539,01:01:35.544,01:01:35.592,01:01:35.496","+17:06:04.30,+17:06:04.29,+17:06:04.32,+17:06:04.68","Ia","333","1","",""
"SN2005na","2005/12/31","16.1","UGC 3634","07:01:36.62,07:01:36.72","+14:07:59.7,+14:07:58.8,+14:07:59.88,+14:07:59.70","Ia","329","20","",""
"SN1999aa","1999/02/11","14.42","NGC 2595","08:27:42.03","+21:29:14.8,+21:29:14.78","Ia Pec","309","50","",""
"SN2016zc","2016/01/31","16.2","SDSS J140557.36+435257.2","14:05:57.100,14:05:57.10,14:05:57.12","+43:53:02.20,+43:53:02.2,+43:53:02.04","Ia","302","1","",""
"SN2007jg","2007/09/14","17.45","SDSS J032950.83+000316.0","03:29:50.81,03:29:50.815,03:29:50.808,03:29:50.83,03:29:50.82","+00:03:24.6,+00:03:24.55,+00:03:24.3,+00:03:24.58,+00:03:24.33,+00:03:24.60,+00:03:24.59","Ia","300","11","",""
"SN1994ae","1994/11/14","12","NGC 3370","10:47:01.94,10:47:01.92,10:47:01.95","+17:16:30.8,+17:16:30.66,+17:16:31.01,+17:16:31.0,+17:16:30.7","Ia","299","21","",""
