"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN1996bk","1996/10/12","13.9","NGC 5308","13:46:57.98","+60:58:12.9,+60:58:12.90","Ia","39","1","",""
"SN1999gd","1999/11/24","16.38","NGC 2623","08:38:24.61","+25:45:33.1,+25:45:33.08","Ia","39","6","",""
"SN2002bj","2002/02/28","14.6","NGC 1821","05:11:46.41","-15:08:10.8,-15:08:10.79","II","39","2","",""
"SNLS-04D1jg","2004/09/21","22.46","[NSB2006] J022612.56-040805.3","02:26:12.557,02:26:12.567","-04:08:05.28,-04:08:05.280,-04:08:05.34","Ia","39","1","",""
"SNLS-04D1kj","2004/10/09","22.44","[NSB2006] J022752.66-041049.2","02:27:52.660,02:27:52.669","-04:10:48.91,-04:10:48.910,-04:10:49.29","Ia","39","1","",""
"SN2006bk","2006/04/03","16.9","MCG +06-33-20","15:04:32.703,15:04:33.61","+35:57:54.03,+35:57:51.1,+35:57:51.08","Ia","39","2","0",""
"SN2006np","2006/11/10","19.53","SDSS J30639.57+000343.1","03:06:39.576,03:06:39.48,03:06:39.456","+00:03:43.15,+00:03:50.5,+00:03:50.49,+00:03:50.13,+00:03:50.51","Ia","39","3","",""
"SN2007ka","2007/09/05","20.48","SDSS J12122.70-000053.3","01:21:22.70,01:21:22.704","-00:00:53.3,-00:00:53.568,-00:00:53.2908,-00:00:53.5572,-00:00:53.32","Ia","39","1","",""
"SNLS-04D2mj","2005/01/08","22.6","[NSB2006] J100036.53+023437.4","10:00:36.531,10:00:36.535","+02:34:37.44,+02:34:37.440","Ia","39","1","",""
"SNLS-05D1cb","2005/09/10","22.68","VVDS:[RBO2008] ir 00060734","02:26:57.056","-04:07:03.24,-04:07:03.240","Ia","39","1","",""
"SNLS-05D3ci","2005/03/09","22.57","[NSB2006] J142148.08+522643.3","14:21:48.106,14:21:48.085","+52:26:43.01,+52:26:43.010,+52:26:43.33","Ia","39","1","",""
"SNLS-06D3el","2006/05/25","22.06","","14:17:01.087,14:17:00.96","+52:13:56.64,+52:13:56.640,+52:13:57","Ia","39","1","",""
"OGLE-2013-SN-124","2013/11/20","19.96","","03:08:52.84,03:08:52.887","-69:25:09.7,-69:25:10.08","Ia","39","1","",""
"OGLE-2013-SN-126","2013/11/26","18.56","","04:19:47.17,04:19:47.208","-63:43:21.6,-63:43:22.04","Ia","39","1","",""
"SN2016aqa","2016/02/08","17.67","","11:23:52.74","-05:33:06.5,-05:33:06.55,-05:33:06.6","Ia","39","1","",""
"SN2016cor","2016/05/25","17.9","SDSS J154431.47+161814.0","15:44:31.20,15:44:31.200,15:44:31.22","+16:18:12.80,+16:18:12.4","Ia","39","2","",""
"SN2016hht","2016/10/19","15.5","IC 0607","10:24:05.32,10:24:05.320,10:24:05.28","+16:44:27.67,+16:44:27.96,+16:44:27.7","Ia","39","1","",""
"SN2017ln","2017/01/19","16.4","2MASX J11383367+2523532","11:38:33.78,11:38:33.780,11:38:33.69,11:38:33.6","+25:23:46.86,+25:23:49.5,+25:23:50.28","Ia","39","1","",""
"SN1997by","1997/04/27","17.33","Abell 1736","13:27:27.54","-27:19:21.7,-27:19:21.68","Ia","38","3","",""
"SN1999cw","1999/06/28","14.2","MCG -01-02-01","00:20:01.46","-06:20:03.6,-06:20:03.59","Ia","38","7","",""
"SN2002ck","2002/04/23","15.6","UGC 10030","15:47:00.75,15:47:00.72","-00:59:25.5,-00:59:25.44,-00:59:25.51","Ia","38","9","",""
"SN2004L","2004/01/21","16.8","MCG +03-27-38","10:27:04.11","+16:01:07.3,+16:01:07.28","Ia","38","13","",""
"SNLS-04D3kr","2004/06/15","21.33","[HSP2005] J141635.93+522844.20","14:16:35.934,14:16:35.937,14:16:35.943","+52:28:43.95,+52:28:43.950,+52:28:44.20,+52:28:44.02","Ia","38","1","",""
"SNLS-04D4fx","2004/08/10","22.58","","22:16:38.136","-18:03:58.88,-18:03:58.880","Ia","38","1","",""
"SN2006dd","2006/06/19","14.51","NGC 1316","03:22:41.64,03:22:41.62","-37:12:13.2,-37:12:13.0,-37:12:13.00","Ia","38","8","",""
"SN2007jk","2007/09/03","20.67","SDSS J25505.40-000851.6","02:55:05.40,02:55:05.616,02:55:05.64,02:55:05.592","-00:08:51.7,-00:08:51,-00:08:50.73,-00:08:50.8,-00:08:50.78","Ia","38","1","",""
"SNLS-05D1hk","2005/11/29","20.73","","02:24:39.176","-04:38:03.31,-04:38:03.310","Ia","38","2","",""
"SNLS-05D2bv","2005/02/01","22","[NSB2006] J100217.08+021426.0","10:02:16.999,10:02:17.008","+02:14:26.16,+02:14:26.160,+02:14:26.05","Ia","38","1","",""
"OGLE-2013-SN-040","2013/07/24","19.25","","00:53:49.35","-63:49:24.1,-63:49:24.3","Ia","38","1","",""
"PTF11dec","2011/05/24","19.214","","14:18:40.107,14:18:40.08,14:18:40.04","+54:10:59.00,+54:10:59.16,+54:10:58.8,+54:10:59.1,+54:10:58.99","Ia","38","1","",""
"SN2016aqz","2016/03/01","16.9","CGCG 101-008","13:11:58.00,13:11:58.02,13:11:58.08","+14:33:58.98,+14:33:58.9,+14:33:59.04","Ia","38","1","",""
"SN2016fck","2016/08/14","16.29","2MASX J01365130-0848250","01:36:51.24,01:36:51.240,01:36:51.23","-08:48:27.04,-08:48:27.468,-08:48:27.0","Ia","38","1","",""
"SN2017cjv","2017/03/24","17.94","LCRS B100813.8-033156","10:10:45.64,10:10:45.640,10:10:45.65","-03:46:39.91,-03:46:39.1","Ia","38","1","",""
"SN2017ejw","2017/05/31","15.95","UGC 757","01:12:34.24,01:12:34.240,01:12:34.176,01:12:34.18,01:12:34.2,01:12:34.248","+00:17:31.13,+00:17:29.26,+00:17:29.4,+00:17:29.508,+00:17:29.2992","Ia","38","1","",""
"SN2017nw","2017/01/23","18.32","","11:16:12.61,11:16:12.610,11:16:12.65","+02:48:29.13,+02:48:29.1","Ia","38","1","",""
"SN1991M","1991/03/12","14.45","IC 1151","15:58:34.82,15:58:34.77,15:58:34.83","+17:27:28.7,+17:27:28.54,+17:27:28.69,+17:27:28.5","Ia","37","7","",""
"SN1994S","1994/06/04","14.82","NGC 4495","12:31:21.85,12:31:21.82,12:31:21.86","+29:08:04.0,+29:08:04.19,+29:08:04.20,+29:08:04.2","Ia","37","6","",""
"SNLS-04D4gz","2004/09/10","22.43","[NSB2006] J221659.01-173719.0","22:16:59.006,22:16:59.018","-17:37:18.85,-17:37:18.850,-17:37:19.02","Ia","37","2","",""
"SNLS-04D4im","2004/10/09","22.07","[HSP2005] J221500.88-172345.84","22:15:00.846,22:15:00.885","-17:23:45.75,-17:23:45.750,-17:23:45.84","Ia","37","1","",""
"SN2005hf","2005/10/25","17.6","A012705+1907","01:27:05.97","+19:07:00.5,+19:07:00.52","Ia","37","7","",""
"SN2006ew","2006/08/27","20.02","SDSS J02002.08-005828.7","20:20:02.17,20:20:02.16","-00:58:32.5,-00:58:32.484,-00:58:32.4984,-00:58:32.6892,-00:58:32.48","Ia","37","1","",""
"SN2006je","2006/10/15","17.8","IC 1735","01:50:53.28","+33:05:53.2,+33:05:53.20","Ia Pec","37","3","",""
"SN2006js","2006/10/01","18.45","SDSS J05520.03-000536.5","20:55:20.06,20:55:20.16,20:55:19.92","-00:05:34.0,-00:05:34.044,-00:05:34.188,-00:05:34.1844,-00:05:34.01","Ia","37","1","",""
"SN2007ml","2007/10/09","20.55","A003153+0008","00:31:53.46,00:31:53.441,00:31:53.4528,00:31:53.4408","+00:08:17.9,+00:08:17.63,+00:08:17.873,+00:08:17.92","Ia","37","1","",""
"SNLS-05D1cl","2005/09/25","23.16","","02:25:05.655","-04:13:14.95,-04:13:14.950","Ia","37","1","",""
"OGLE-2013-SN-057","2013/08/22","19.4","","00:37:02.41","-64:29:50.0,-64:29:49.9","Ia","37","1","",""
"OGLE-2014-SN-019","2014/02/22","17.08","","06:13:48.04","-67:55:15.0","Ia","37","5","",""
"ASASSN-15ar","2015/01/10","16.64","CGCG 439-010","02:28:20.360,02:28:20.36,02:28:20.38,02:28:20.352","+10:23:03.87,+10:23:03.9,+10:23:03.8,+10:23:03.84","Ia","37","2","",""
"SN2016bey","2016/03/11","18.43","","11:37:40.23","+57:04:41.50,+57:04:41.5","Ia","37","1","",""
"SN2016cck","2016/05/03","17.6","2MASX J17353788+0848387","17:35:37.80,17:35:37.800","+08:48:32.35","Ia","37","1","",""
"SN2016jae","2016/12/22","16.75","","09:42:34.51,09:42:34.510,09:42:34.56,09:42:34.49","+10:59:35.38,+10:59:35.52,+10:59:35.2","Ia","37","1","",""
"SN2017azk","2017/02/16","18.48","J112538.38+072003.8","11:25:38.26,11:25:38.260","+07:20:00.80,+07:20:00.8","Ia","37","1","",""
"SN2017mu","2017/01/21","18.9","GALEXASC J093036.72+212437.4","09:30:36.58,09:30:36.580,09:30:36.59","+21:24:42.32,+21:24:42.5","Ia","37","1","",""
"SN1994T","1994/06/11","17.04","CGCG 016-058","13:21:30.73,13:21:30.69,13:18:59.84","-02:08:56.5,-02:08:58.08,-02:09:01.58,-02:09:01.6,-02:08:58.1","Ia","36","6","",""
"SN2000cp","2000/06/21","17.58","2MFGC 12921","16:05:27.62","+17:49:48.8,+17:49:48.79","Ia","36","5","",""
"SN2003ai","2003/02/08","15.11","IC 4062","13:00:58.68,13:00:58.688","+39:51:24.5,+39:51:24.52,+39:51:24.59","Ia","36","3","",""
"SNLS-04D1de","2004/08/17","22.97","VVDS 020262777","02:26:35.909,02:26:35.925","-04:25:21.44,-04:25:21.440,-04:25:21.65","Ia","36","1","",""
"SNLS-04D1oh","2004/10/19","22.61","[NSB2006] J022502.37-041410.5","02:25:02.362,02:25:02.372","-04:14:10.27,-04:14:10.270,-04:14:10.52","Ia","36","1","",""
"SN2006eb","2006/07/22","17.5","UGC 771","01:13:41.10,01:13:41.136,01:13:41.088","-00:06:06.4,-00:06:05.688,-00:06:05.6772,-00:06:05.9544,-00:06:06.41","Ia","36","2","",""
"SN2006ji","2006/09/20","20.24","SDSS J03246.77+005537.1","20:32:46.79,20:32:46.8","+00:55:37.5,+00:55:37.45,+00:55:37.448,+00:55:37.297,+00:55:37.49","Ia","36","1","",""
"SN2006lw","2006/09/16","20.86","A020833-0357","02:08:33.669,02:08:33.67,02:08:33.670","-03:57:12.90,-03:57:12.9,-03:57:12.89,-03:57:12.888","Ia","36","1","",""
"SN2006ly","2006/09/16","21.06","A023442-0830","02:34:42.381,02:34:42.38","-08:30:39.89,-08:30:39.9,-08:30:39.885","Ia?","36","1","",""
"SN2007mf","2007/10/08","20.91","SDSS J15854.85-010137.0","01:58:54.86,01:58:55.104,01:58:55.152,01:58:55.14","-01:01:37.1,-01:01:37.992,-01:01:37.452,-01:01:37.5,-01:01:37.49","Ia","36","1","",""
"SN2007tf","2007/10/06","21.49","SDSS J10959.32-000108.0","01:09:59.35,01:09:59.334,01:09:59.304,01:09:59.328,01:09:59.350,01:09:59.349","-00:01:06.9,-00:01:06.90,-00:01:07.248,-00:01:06.8988,-00:01:06.96,-00:01:07.2516,-00:01:07.00,-00:01:06.95,-00:01:06.947","Ia","36","1","",""
"SN2008by","2008/04/19","17.2","SDSS J120520.81+405644.4","12:05:20.98,12:05:20.907","+40:56:45.6,+40:56:44.43,+40:56:45.60","Ia","36","1","",""
"SNLS-05D4bj","2005/07/09","23.02","","22:14:59.664","-18:08:00.26,-18:08:00.260","Ia","36","1","",""
"ASASSN-14lw","2014/12/12","16.87","GALEXASC J010647.95-465904.1","01:06:49.170,01:06:49.17,01:06:49.176","-46:58:59.96,-46:58:59.10,-46:58:59.88","Ia","36","8","",""
"OGLE-2013-SN-044","2013/08/07","18.75","","00:18:50.31","-77:33:32.6","Ia","36","1","",""
"OGLE-2013-SN-051","2013/08/16","18.73","","00:32:19.55","-66:25:44.3","Ia","36","1","",""
"OGLE-2013-SN-075","2013/09/30","18.95","","01:58:01.88","-68:45:47.9","Ia","36","1","",""
"OGLE-2013-SN-109","2013/10/30","19.22","","01:46:09.34","-67:28:00.1","Ia","36","1","",""
"OGLE-2013-SN-123","2013/11/13","18.32","","05:58:30.38,05:58:30.37","-63:33:38.3","Ia","36","1","",""
"PS1-10afx","2010/08/31","23.73","","22:11:24.162,22:11:24.24,22:11:24.16,22:11:24.161,22:11:24.160","+00:09:43.49,+00:09:43.6,+00:09:43.5,+00:09:43.39","Lensed SN Ia","36","5","",""
"Gaia15abd","2015/02/07","17.88","","13:41:07.91,13:41:07.92","+23:16:58.8","Ia","36","1","",""
"SN2016hot","2016/10/25","17.8","","01:53:19.45,01:53:19.363","+17:18:53.42,+17:18:53.32,+17:18:53.4","Ia","36","1","",""
"SN2016ixf","2016/12/17","18.04","","10:39:44.56,10:39:44.558,10:39:44.64","+15:02:04.78,+15:02:04.92,+15:02:04.9","Ia","36","1","",""
"SN2017adj","2017/01/30","16.7","","13:43:23.25,13:43:23.250,13:43:23.28,13:43:23.26","-19:56:37.13,-19:56:37.32,-19:56:37.2","Ia","36","1","",""
"SN2017nh","2017/01/23","17.6","2MASX J07101346+2712041","07:10:13.64,07:10:13.640,07:10:13.53,07:10:13.44","+27:12:09.79,+27:12:10.9,+27:12:10.08","Ia","36","1","",""
"SN1997Y","1997/02/02","14.4","NGC 4675","12:45:31.40","+54:44:17.0,+54:44:17.02","Ia","35","5","",""
"SN2001ie","2001/12/09","16.1","UGC 5542","10:16:50.70","+60:16:44.5,+60:16:44.51","Ia","35","8","",""
"SN2006fl","2006/09/11","20.1","SDSS J21127.68+004520.1","22:11:27.600,22:11:27.6,22:11:27.71","+00:45:20.16,+00:45:21.53,+00:45:21.2,+00:45:21.521,+00:45:21.193,+00:45:21.5,+00:45:21.49","Ia","35","1","",""
"SN2006fu","2006/08/28","20.35","SDSS J35108.37-004447.6","23:51:08.400,23:51:08.4,23:51:08.41","-00:44:47.64,-00:44:47.04,-00:44:46.824,-00:44:47.22,-00:44:46.8276,-00:44:47.202,-00:44:46.9,-00:44:46.90","Ia","35","1","",""
"SN2006sr","2006/12/12","16.39","UGC 14","00:03:35.02","+23:11:46.2,+23:11:46.21","Ia","35","8","",""
"SN2007tj","2007/10/08","21.25","A021104-0411","02:11:04.61,02:11:04.611","-04:11:50.0,-04:11:49.99,-04:11:50.04,-04:11:50.056","Ia","35","1","",""
"SN2008cd","2008/04/29","16.58","NGC 5038","13:15:01.75,13:15:01.777","-15:57:06.8,-15:57:06.70,-15:57:06.80","Ia","35","1","",""
"SN2008cf","2008/05/04","16.73","[WLF2008] J140732.38-263305.6","14:07:32.56,14:07:32.585","-26:33:06.6,-26:33:07.74,-26:33:06.59","Ia","35","1","",""
"SNLS-05D3kt","2005/06/02","22.92","DEEP2 12027456","14:19:53.720","+52:44:34.75,+52:44:34.750","Ia","35","1","",""
"SNLS-05D3lb","2005/06/04","22.82","","14:17:31.758","+53:10:04.54,+53:10:04.540","Ia","35","1","",""
"OGLE-2012-SN-040","2012/11/24","15.95","","06:07:01.59","-69:21:17.1","Ia","35","11","",""
"OGLE-2013-SN-130","2013/12/01","19.59","","06:36:46.99","-68:52:22.4","Ia Pec","35","1","",""
"SN2016aex","2016/02/12","16.7","2MASX J15453055-1309057","15:45:30.314,15:45:30.31,15:45:30.24","-13:09:10.03,-13:09:10.0,-13:09:07.92","Ia","35","1","",""
"SN2017cud","2017/03/31","18.41","LEDA 1073323","09:40:17.13,09:40:17.136,09:40:17.04","-03:17:30.66","Ia","35","1","",""
"SN1968E","1968/03/21","13.36","NGC 2713","08:57:21,08:57:21.1,08:57:20.89","+02:55.0,+02:54:58.0,+02:55:03.0","Ia","35","1","",""
"SNLS-03D1bm","2003/09/28","23.07","VVDS:[RBO2008] ir 00065892","02:24:36.072","-04:12:44.51,-04:12:44.510","Ia","34","1","",""
"SNLS-04D4bq","2004/07/14","22.2","[AGR2006] J221449.39-174939.3","22:14:49.424,22:14:49.391","-17:49:39.34,-17:49:39.340,-17:49:39.37","Ia","34","2","",""
"SN2007ol","2007/10/29","17.95","SDSS J13723.78-001842.2","01:37:23.78,01:37:23.688,01:37:23.70","-00:18:42.1,-00:18:43.524,-00:18:43.1892,-00:18:43.5348,-00:18:43.2,-00:18:43.20","Ia","34","1","",""
"SN2007tk","2007/10/08","20.93","A023024-0817","02:30:24.61,02:30:24.610,02:30:24.609","-08:17:54.4,-08:17:54.38,-08:17:54.44,-08:17:54.401","Ia?","34","1","",""
"SNLS-05D4fe","2005/09/25","23.37","","22:15:40.268","-17:31:42.38,-17:31:42.380","Ia","34","1","",""
"SNLS-05D4fg","2005/09/27","22.97","","22:16:41.348","-17:35:43.66,-17:35:43.660","Ia","34","1","",""
"LSQ12gyc","2012/11/25","18.7","","02:45:50.0,02:45:50.07","-17:55:46,-17:55:45.74,-17:55:46.0","Ia","34","1","",""
"OGLE-2012-SN-051","2012/12/29","19.73","ESO 85-G38","05:04:06.71","-63:34:57.0","Ia","34","1","",""
"OGLE-2013-SN-041","2013/07/23","19.44","","01:36:17.96,01:36:18.01","-69:34:12.5,-69:34:12.6","Ia","34","1","",""
"OGLE-2013-SN-043","2013/08/03","20.27","","00:52:48.79,00:52:48.85","-66:09:48.6,-66:09:48.9","Ia","34","1","",""
"PTF10bjs","2010/02/19","16.4","MCG +09-21-83","13:01:11.22,13:01:11.215,13:01:11.28,13:01:11.25","+53:48:57.5,+53:48:57.49,+53:48:57.6","Ia","34","4","",""
"SN2013aj","2013/03/03","14.14","NGC 5339","13:54:00.68","-07:55:43.8,-07:55:43.79","Ia","34","11","",""
"SN2013Q","2013/01/25","15.58","NGC 7753","23:47:07.87","+29:29:11.5,+29:29:11.51","Ia","34","1","",""
"SN2014at","2014/04/20","15.93","NGC 7119B","21:46:14.82","-46:31:21.1,-46:31:21.11","Ia","34","5","",""
"SN2016aud","2016/03/06","17.13","SDSS J151354.30+044525.7","15:13:54.30,15:13:54.326,15:13:54.33,15:13:54.24","+04:45:26.14,+04:45:25.89,+04:45:25.9,+04:45:25.884","Ia-91T","34","1","",""
"SN2016ayf","2016/03/10","16.79","CGCG 295-010","13:45:00.52,13:45:00.521,13:45:00.48","+61:16:48.90,+61:16:49.08","Ia","34","1","",""
"SN2016bfc","2016/03/11","17.06","","16:41:09.71","+50:58:20.90,+50:58:20.9","Ia","34","1","",""
"SN2016gwl","2016/10/02","15.85","NGC 2865","09:23:28.02,09:23:28.020,09:23:28.08,09:23:28.03","-23:10:10.74,-23:10:10.92,-23:10:10.7","Ia","34","1","",""
"SN2017adi","2017/02/05","17.82","","09:01:38.99,09:01:38.990,09:01:38.96","+20:44:57.64,+20:44:57.6","Ia","34","1","",""
"SN1999X","1999/01/23","16.5","CGCG 180-022","08:54:32.23","+36:30:41.1,+36:30:41.11","Ia","33","8","",""
"SN2002hd","2002/10/24","16.77","MCG -01-23-08","08:54:04.69,08:54:03.39","-07:10:59.8,-07:11:21.5,-07:11:21.52","Ia","33","5","",""
"SN2003js","2003/10/24","21.53","A022952-0832","02:29:52.15,02:29:52.158,02:29:52.152","-08:32:28.1,-08:32:28.09,-08:32:28.10,-08:32:28.19,-08:32:28.155","Ia","33","2","",""
"SNLS-04D1ff","2004/09/09","23.01","","02:25:38.622","-04:54:09.47,-04:54:09.470","Ia","33","1","",""
"SN2005ch","2005/06/08","15.5","APMUKS(BJ) B141934.25+021314.0","14:22:06.77,14:22:06.72","+01:59:35.7,+01:59:35.376,+01:59:35.70","Ia","33","1","",""
"SN2005eo","2005/09/27","17.22","UGC 4132","07:59:13.94,07:59:13.92","+32:55:19.7,+32:55:18.48,+32:55:19.70","Ia","33","9","",""
"SN2005ky","2005/11/29","20.5","A022436-0410","02:24:36.254,02:24:36.243,02:24:36.25","-04:10:54.94,-04:10:54.78,-04:10:54.780,-04:10:54.9,-04:10:54.91","Ia","33","3","",""
"SN2005lz","2005/12/24","17.77","UGC 1666","02:10:49.76","+34:58:58.2,+34:58:58.19","Ia","33","2","",""
"SN2006jn","2006/09/30","20.5","SDSS J03039.02+000831.2","00:30:39.028,00:30:39.178,00:30:39.166,00:30:39.1776,00:30:39.1656,00:30:39.18","+00:08:31.17,+00:08:29.69,+00:08:29.33,+00:08:29.692,+00:08:29.317,+00:08:29.7","Ia","33","1","",""
"SN2006nd","2006/10/28","19.82","SDSS J24458.81-010022.9","22:44:58.812,22:44:59.04,22:44:59.06","-01:00:23.05,-01:00:23.76,-01:00:24.048,-01:00:23.8,-01:00:23.80","Ia","33","3","",""
"SN2006nw","2006/10/31","19.99","A020255-0032","02:02:55.95,02:02:55.944","-00:32:01.9,-00:32:01.932,-00:32:01.9392,-00:32:02.238,-00:32:01.90","Ia","33","1","",""
"SN2007cn","2007/05/29","18.1","UGC 11953","22:13:55.79,22:13:55.790","+13:45:23.9,+13:45:23.45,+13:45:23.90","Ia","33","1","",""
"SN2007jo","2007/09/03","20.5","A231012-0055","23:10:12.58,23:10:12.48","-00:55:53.1,-00:55:53.0652,-00:55:53.3568,-00:55:53.11","Ia","33","1","",""
"SN2007qf","2007/10/21","20.57","SDSS J21502.93-002030.1","22:15:02.880,22:15:02.88,22:15:03.00","-00:20:30.23,-00:20:28.824,-00:20:28.5252,-00:20:28.8132,-00:20:28.5,-00:20:28.50","Ia","33","1","",""
"SN2007rp","2007/11/05","20.29","SDSS J21343.61+002346.6","22:13:43.680,22:13:43.68,22:13:43.44,22:13:43.58","+00:23:46.69,+00:23:46.684,+00:23:46.327,+00:23:46.7,+00:23:46.72","Ia","33","1","",""
"SN2007ts","2007/11/05","21.39","SDSS J10758.14+002748.8","01:07:58.15,01:07:58.152,01:07:58.17,01:07:58.168,01:07:58.159","+00:27:48.9,+00:27:49.151,+00:27:48.863,+00:27:49.0,+00:27:49.00,+00:27:49.05,+00:27:48.972","Ia","33","1","",""
"SNLS-05D1em","2005/11/04","22.91","VVDS:[RBO2008] ir 00171777","02:24:05.522","-04:56:23.66,-04:56:23.660","Ia","33","1","",""
"SNLS-05D1ix","2005/11/29","22.09","","02:24:19.967","-04:40:12.01,-04:40:12.010","Ia","33","1","",""
"SNLS-05D1iy","2005/11/29","21.23","","02:27:39.961","-04:25:21.29,-04:25:21.290","Ia","33","1","",""
"SNLS-06D3et","2006/05/30","22.6","","14:22:04.770,14:22:04.8","+52:20:18.12,+52:20:18.120,+52:20:18.24","Ia","33","1","",""
"PTF10accd","2010/12/08","17.05","","02:13:30.40,02:13:30.408,02:13:30.50","+46:41:37.2,+46:41:37.32,+46:41:38.4","Ia","33","1","",""
"SN2016blk","2016/04/02","16.28","APMUKS(BJ) B032028.93-441621.0","03:22:12.72,03:22:12.85,03:22:12.84","-44:05:39.48,-44:05:40.7,-44:05:40.92","Ia","33","1","",""
"SN2017lv","2017/01/14","16.86","ESO 440-G1","11:44:26.54,11:44:26.540","-28:27:27.22","Ia","33","1","",""
"SN1997do","1997/10/31","14.45","UGC 3845","07:26:42.50","+47:05:36.0,+47:05:35.99","Ia","32","16","",""
"SNLS-03D1cm","2003/10/26","23.27","[HSP2005] J022455.28-042303.68","02:24:55.268,02:24:55.288,02:24:55.294","-04:23:03.40,-04:23:03.400,-04:23:03.68,-04:23:03.61","Ia","32","1","",""
"SNLS-04D3nq","2004/07/13","20.55","[HSP2005] J142019.19+530915.90","14:20:19.135,14:20:19.193","+53:09:15.89,+53:09:15.890,+53:09:15.90","Ia","32","1","",""
"SNLS-04D4hu","2004/09/17","22.95","[HSP2005] J221536.19-175019.81","22:15:36.208,22:15:36.193","-17:50:20.04,-17:50:20.040,-17:50:19.81","Ia","32","1","",""
"SN2006fd","2006/08/27","19.2","SDSS J03753.43+011309.9","20:37:53.25,20:37:53.28","+01:13:16.1,+01:13:16.032,+01:13:15.744,+01:13:16.10","Ia","32","1","",""
"SN2006sk","2006/11/14","21.37","A021033-0404","02:10:33.801,02:10:33.80,02:10:33.800","-04:04:03.86,-04:04:03.9,-04:04:03.79,-04:04:03.845","Ia","32","1","",""
"SN2006so","2006/11/18","20.98","A023349-0859","02:33:49.155,02:33:49.15,02:33:49.152","-08:59:15.78,-08:59:15.8,-08:59:15.68,-08:59:15.768","Ia","32","1","",""
"SN2007mz","2007/10/06","20.97","SDSS J20751.19-010412.1","22:07:51.20,22:07:51.12","-01:04:11.8,-01:04:12.072,-01:04:11.784,-01:04:11.78","Ia","32","1","",""
"SN2007pu","2007/10/29","18.55","SDSS J24558.32-003855.9","22:45:58.320,22:45:58.08,22:45:58.15","-00:38:55.99,-00:38:55.4496,-00:38:55.734,-00:38:55.4,-00:38:55.39","Ia","32","1","",""
"SN2009cb","2009/03/19","19.71","A125916+2716","12:59:15.85,12:59:15.864","+27:16:41.3,+27:16:41.30,+27:16:40.58","SLSN-I","32","1","",""
"SNLS-05D1az","2005/09/03","23.07","","02:25:12.506","-04:36:08.41,-04:36:08.410","Ia","32","1","",""
"SNLS-05D4cq","2005/08/02","22.74","","22:14:09.650","-18:13:36.17,-18:13:36.170","Ia","32","1","",""
"SNLS-06D3fp","2006/06/17","21.05","","14:20:18.605,14:20:18.72","+52:53:49.79,+52:53:49.790,+52:53:49.56","Ia","32","1","",""
"SNLS-06D4ce","2006/07/18","23.02","","22:17:17.245","-17:14:09.37,-17:14:09.370","Ia","32","2","",""
"OGLE-2013-SN-073","2013/09/29","19.05","","02:44:54.81","-73:20:35.8","Ia","32","1","",""
"OGLE-2013-SN-148","2013/12/26","19.46","","06:38:06.94,06:38:06.970","-75:43:36.6,-75:43:37.21","Ia","32","1","",""
"SN2014ao","2014/04/17","15.2","NGC 2615","08:34:33.32","-02:32:36.1,-02:32:36.10","Ia","32","4","",""
"OGLE17ojj","2017/08/27","18.62","","00:40:04.690","-64:37:37.10","Ia","32","1","",""
"SN2016ac","2016/01/18","16.1","NGC 3926 NED02","11:51:28.20,11:51:28.200,11:51:28.32","+22:01:34.90,+22:01:34.9,+22:01:33.6","Ia","32","1","",""
"SN2016fca","2016/08/17","15.99","","01:19:45.40,01:19:45.425,01:19:45.432,01:19:45.42","+09:53:42.60,+09:53:42.65,+09:53:42.648,+09:53:42.7","Ia","32","1","",""
"SN2016fff","2016/08/23","15","UGC A 430","22:36:59.14,22:36:59.140,22:36:59.20,22:36:59.04","-25:13:55.63,-25:13:55.2,-25:13:55.56","Ia","32","1","",""
"SN2017fbp","2017/07/01","16.7","UGC 2645","03:17:27.86,03:17:27.838,03:17:27.888,03:17:27.87,03:17:27.84","-00:05:11.26,-00:05:08.66,-00:05:08.7,-00:05:08.6,-00:05:08.664","Ia","32","1","",""
"SN1996ab","1996/05/12","18.5","A152108+2755","15:21:08.35,15:21:08.350","+27:55:36.8,+27:55:36.80","Ia","31","1","",""
"SN1996bv","1996/11/03","15.29","UGC 3432","06:16:13.04,06:16:13.00","+57:03:10.0,+57:03:08.4,+57:03:08.89","Ia","31","2","",""
"SN1998dk","1998/08/19","15.2","UGC 139","00:14:32.16,00:14:32.2","-00:44:10.9,-00:44:11.04,-00:44:10.90","Ia","31","14","",""
"SN2000B","2000/01/11","15.8","NGC 2320","07:05:40.73","+50:35:10.5,+50:35:10.50","Ia","31","12","",""
"SN2003ch","2003/03/21","16.74","UGC 3787","07:17:57.92,07:17:57.928","+09:41:34.9,+09:41:34.91,+09:41:34.99","Ia","31","13","",""
"SN2003ji","2003/10/20","20.81","A020754-0328","02:07:54.84,02:07:54.848,02:07:54.841","-03:28:28.4,-03:28:28.40,-03:28:28.42,-03:28:28.49,-03:28:28.055","Ia","31","1","",""
"SNLS-03D1co","2003/11/21","23.15","[HSP2005] J022616.23-045605.76","02:26:16.259,02:26:16.238,02:26:16.252","-04:56:06.18,-04:56:06.180,-04:56:05.76,-04:56:05.65","Ia","31","3","",""
